Aircraft__Airline_Operator,Aircraft__Make_Model,Airport__Name,Cost__Other,Cost__Repair,Cost__Total_$,Effect__Amount_of_damage,Flight_Date,Origin_State,Speed_IAS_in_knots,When__Phase_of_flight,When__Time_of_day,Wildlife__Size,Wildlife__Species
MILITARY,T-38A,BARKSDALE AIR FORCE BASE ARPT,0,0,0,None,1/8/90 0:00,Louisiana,300.0,Climb,Day,Large,Turkey vulture
MILITARY,KC-10A,BARKSDALE AIR FORCE BASE ARPT,0,0,0,None,1/9/90 0:00,Louisiana,200.0,Approach,Night,Medium,Unknown bird or bat
MILITARY,B-52,BARKSDALE AIR FORCE BASE ARPT,0,0,0,None,1/11/90 0:00,Louisiana,130.0,Take-off run,Day,Medium,Unknown bird or bat
SOUTHWEST AIRLINES,B-737-300,NEW ORLEANS INTL,0,0,0,Substantial,1/11/90 0:00,Louisiana,140.0,Take-off run,Day,Small,Rock pigeon
MILITARY,KC-10A,BARKSDALE AIR FORCE BASE ARPT,0,0,0,None,1/12/90 0:00,Louisiana,160.0,Climb,Day,Medium,Unknown bird or bat
MILITARY,KC-10A,BARKSDALE AIR FORCE BASE ARPT,0,0,0,None,2/2/90 0:00,Louisiana,180.0,Take-off run,Day,Medium,Unknown bird or bat
MILITARY,KC-10A,BARKSDALE AIR FORCE BASE ARPT,0,0,0,None,2/6/90 0:00,Louisiana,140.0,Climb,Dusk,Medium,Unknown bird or bat
FEDEX EXPRESS,B-727,WASHINGTON DULLES INTL ARPT,0,0,0,None,2/22/90 0:00,DC,190.0,Approach,Night,Large,Unknown bird - large
MILITARY,KC-10A,BARKSDALE AIR FORCE BASE ARPT,0,0,0,None,3/1/90 0:00,Louisiana,180.0,Climb,Day,Medium,Unknown bird or bat
MILITARY,B-52,BARKSDALE AIR FORCE BASE ARPT,0,0,0,None,3/2/90 0:00,Louisiana,130.0,Take-off run,Dusk,Medium,Unknown bird or bat
AIR WISCONSIN AIRLINES,BA-146,WASHINGTON DULLES INTL ARPT,0,0,0,Medium,3/3/90 0:00,DC,180.0,Climb,Day,Large,Unknown bird - large
MILITARY,B-52,BARKSDALE AIR FORCE BASE ARPT,0,0,0,None,3/8/90 0:00,Louisiana,150.0,Approach,Night,Medium,Unknown bird or bat
MILITARY,C-141B,RONALD REAGAN WASHINGTON NATL,0,0,0,None,3/9/90 0:00,DC,200.0,Approach,Night,Medium,Unknown bird - medium
MILITARY,C-141B,CHARLESTON AFB/INTL ARPT,0,0,0,None,3/9/90 0:00,South Carolina,190.0,Approach,Night,Medium,Unknown bird or bat
MILITARY,B-52,BARKSDALE AIR FORCE BASE ARPT,0,0,0,None,3/9/90 0:00,Louisiana,150.0,Take-off run,Night,Medium,Unknown bird or bat
MILITARY,A-10A,BARKSDALE AIR FORCE BASE ARPT,0,4175,4175,None,3/13/90 0:00,Louisiana,250.0,Approach,Day,Medium,Unknown bird or bat
MILITARY,KC-10A,BARKSDALE AIR FORCE BASE ARPT,0,0,0,None,3/19/90 0:00,Louisiana,150.0,Approach,Dusk,Medium,Unknown bird or bat
TRANS STATES AIRLINES,SA227 AC METRO III,LAMBERT-ST LOUIS INTL,0,0,0,Minor,3/22/90 0:00,Missouri,160.0,Climb,Day,Small,European starling
MILITARY,KC-10A,BARKSDALE AIR FORCE BASE ARPT,0,0,0,None,4/4/90 0:00,Louisiana,135.0,Approach,Night,Medium,Unknown bird or bat
US AIRWAYS*,B-737-400,LAGUARDIA NY,0,0,0,Substantial,4/7/90 0:00,New York,,Take-off run,Day,Large,Canada goose
MILITARY,KC-10A,BARKSDALE AIR FORCE BASE ARPT,0,0,0,None,4/7/90 0:00,Louisiana,120.0,Take-off run,Dusk,Medium,Unknown bird or bat
MILITARY,KC-10A,BARKSDALE AIR FORCE BASE ARPT,0,0,0,None,4/9/90 0:00,Louisiana,210.0,Approach,Day,Medium,Unknown bird or bat
MILITARY,KC-10A,BARKSDALE AIR FORCE BASE ARPT,0,0,0,None,4/15/90 0:00,Louisiana,180.0,Climb,Day,Medium,Unknown bird or bat
MILITARY,KC-10A,BARKSDALE AIR FORCE BASE ARPT,0,0,0,None,4/16/90 0:00,Louisiana,150.0,Climb,Dawn,Medium,Unknown bird or bat
MILITARY,KC-10A,BARKSDALE AIR FORCE BASE ARPT,0,0,0,None,4/18/90 0:00,Louisiana,140.0,Take-off run,Day,Medium,Unknown bird or bat
MILITARY,KC-10A,BARKSDALE AIR FORCE BASE ARPT,0,0,0,None,4/19/90 0:00,Louisiana,180.0,Approach,Day,Medium,Unknown bird or bat
MILITARY,KC-135,BARKSDALE AIR FORCE BASE ARPT,0,0,0,None,4/19/90 0:00,Louisiana,140.0,Take-off run,Night,Medium,Unknown bird or bat
AMERICAN AIRLINES,B-727,NEW ORLEANS INTL,0,0,0,None,4/19/90 0:00,Louisiana,235.0,Approach,Day,Small,Unknown bird - small
UNKNOWN,BE-58  BARON,CHARLOTTE/DOUGLAS INTL ARPT,0,0,0,None,4/20/90 0:00,North Carolina,105.0,Approach,Day,Medium,Unknown bird - medium
MILITARY,KC-10A,BARKSDALE AIR FORCE BASE ARPT,0,0,0,None,4/23/90 0:00,Louisiana,190.0,Approach,Dawn,Medium,Unknown bird or bat
MILITARY,C-141B,CHARLESTON AFB/INTL ARPT,0,0,0,None,4/23/90 0:00,South Carolina,160.0,Take-off run,Night,Medium,Unknown bird or bat
MILITARY,C-141B,CHARLESTON AFB/INTL ARPT,0,0,0,None,4/24/90 0:00,South Carolina,200.0,Approach,Day,Medium,Unknown bird or bat
MILITARY,B-52,BARKSDALE AIR FORCE BASE ARPT,0,0,0,None,4/25/90 0:00,Louisiana,140.0,Approach,Dusk,Medium,Unknown bird or bat
MILITARY,KC-10A,BARKSDALE AIR FORCE BASE ARPT,0,0,0,None,4/25/90 0:00,Louisiana,170.0,Approach,Night,Medium,Unknown bird or bat
MILITARY,KC-135,BARKSDALE AIR FORCE BASE ARPT,0,0,0,None,4/26/90 0:00,Louisiana,180.0,Approach,Night,Medium,Unknown bird or bat
US AIRWAYS*,B-737-300,LOS ANGELES INTL,0,0,0,None,4/27/90 0:00,California,230.0,Climb,Day,Medium,Unknown bird - medium
AMERICAN AIRLINES,B-727,CHICAGO O'HARE INTL ARPT,0,0,0,None,4/27/90 0:00,Illinois,,Approach,Night,Medium,Unknown bird - medium
AMERICAN AIRLINES,B-727,PORTLAND INTL (OR),0,0,0,None,4/28/90 0:00,Oregon,127.0,Approach,Night,Medium,Unknown bird - medium
AMERICAN AIRLINES,B-727,WASHINGTON DULLES INTL ARPT,0,0,0,Medium,4/29/90 0:00,DC,250.0,Approach,Night,Medium,Unknown bird - medium
US AIRWAYS*,B-737-400,FORT LAUDERDALE/HOLLYWOOD INTL,0,0,0,Substantial,4/30/90 0:00,Florida,140.0,Take-off run,Day,Small,Unknown bird - small
UNITED AIRLINES,B-727,CHICAGO O'HARE INTL ARPT,0,0,0,None,5/1/90 0:00,Illinois,120.0,Climb,Night,Large,White-tailed deer
SOUTHWEST AIRLINES,B-737-500,HOUSTON-HOBBY,0,0,0,None,5/1/90 0:00,Texas,124.0,Approach,Day,Small,Unknown bird - small
AMERICAN AIRLINES,B-767-200,CHICAGO O'HARE INTL ARPT,0,0,0,None,5/2/90 0:00,Illinois,130.0,Approach,Night,Medium,Unknown bird - medium
SOUTHWEST AIRLINES,B-737-200,SAN ANTONIO INTL,0,0,0,None,5/3/90 0:00,Texas,320.0,Descent,Night,Small,Unknown bird - small
AMERICAN AIRLINES,MD-80,SACRAMENTO INTL,0,0,0,None,5/5/90 0:00,California,260.0,Approach,Night,Medium,Unknown bird - medium
AMERICAN AIRLINES,B-727-200,WILL ROGERS WORLD ARPT,0,0,0,None,5/5/90 0:00,Oklahoma,150.0,Approach,Day,Small,Unknown bird - small
DELTA AIR LINES,B-767,ATLANTA INTL,0,0,0,None,5/5/90 0:00,Georgia,180.0,Approach,Night,Small,Unknown bird - small
BUSINESS,BE-90  KING,INDIANAPOLIS INTL,0,0,0,Minor,5/7/90 0:00,Indiana,160.0,Descent,Day,Medium,Unknown bird - medium
AMERICAN AIRLINES,MD-80,DALLAS/FORT WORTH INTL ARPT,0,0,0,None,5/7/90 0:00,Texas,240.0,Descent,Day,Medium,Unknown bird - medium
MILITARY,E-4B,KANSAS CITY INTL,0,0,0,None,5/8/90 0:00,Missouri,180.0,Approach,Night,Medium,Unknown bird - medium
AMERICAN AIRLINES,MD-80,MINETA SAN JOSE INTL,0,0,0,None,5/8/90 0:00,California,135.0,Take-off run,Day,Small,American robin
