gas,miles,side,year
2.38,3675,left,1956
2.4,3706,right,1957
2.26,3766,bottom,1958
2.31,3905,top,1959
2.27,3935,right,1960
2.25,3977,bottom,1961
2.22,4085,right,1962
2.12,4218,bottom,1963
2.11,4369,bottom,1964
2.14,4538,bottom,1965
2.14,4676,top,1966
2.14,4827,bottom,1967
2.13,5038,right,1968
2.07,5207,right,1969
2.01,5376,right,1970
1.9300000000000002,5617,bottom,1971
1.87,5973,bottom,1972
1.9,6154,right,1973
2.34,5943,left,1974
2.31,6111,bottom,1975
2.32,6389,bottom,1976
2.36,6630,top,1977
2.23,6883,bottom,1978
2.68,6744,left,1979
3.3,6672,left,1980
3.3,6732,right,1981
2.92,6835,right,1982
2.66,6943,right,1983
2.48,7130,right,1984
2.36,7323,right,1985
1.76,7558,left,1986
1.76,7770,top,1987
1.6800000000000002,8089,bottom,1988
1.75,8397,left,1989
1.88,8529,top,1990
1.78,8535,right,1991
1.69,8662,right,1992
1.6,8855,left,1993
1.5899999999999999,8909,bottom,1994
1.6,9150,bottom,1995
1.67,9192,top,1996
1.65,9416,right,1997
1.3900000000000001,9590,bottom,1998
1.5,9687,right,1999
1.8900000000000001,9717,top,2000
1.77,9699,left,2001
1.6400000000000001,9814,bottom,2002
1.8599999999999999,9868,right,2003
2.14,9994,left,2004
2.5300000000000002,10067,left,2005
2.79,10037,right,2006
2.95,10025,right,2007
3.31,9880,left,2008
2.38,9657,bottom,2009
2.61,9596,left,2010
