date,delay,destination,distance,origin
2001-01-13 14:56:00,32,SJC,417,SAN
2001-01-31 16:40:00,-5,ISP,1093,FLL
2001-02-11 18:39:00,3,DAL,293,LBB
2001-01-10 21:00:00,-15,MCO,550,MSY
2001-03-30 21:45:00,-2,IND,229,STL
2001-03-14 14:55:00,3,MDW,405,MCI
2001-03-14 19:04:00,20,PHX,1999,BWI
2001-01-22 09:05:00,0,SAN,628,ABQ
2001-01-30 19:15:00,22,BUR,358,SMF
2001-01-27 07:00:00,-13,BWI,588,BNA
2001-01-02 11:40:00,-1,BNA,395,MDW
2001-03-01 09:40:00,8,CLE,307,MDW
2001-02-28 21:56:00,11,LAS,1140,MCI
2001-03-14 14:55:00,8,TPA,1034,ISP
2001-03-07 21:15:00,-3,LAS,256,PHX
2001-02-09 08:00:00,4,ALB,288,BWI
2001-02-14 17:44:00,21,LAX,308,SJC
2001-01-10 22:46:00,88,SFO,447,SAN
2001-01-18 10:34:00,5,TUL,237,DAL
2001-02-19 14:20:00,0,BDL,283,BWI
2001-03-30 18:35:00,0,LBB,293,DAL
2001-02-11 17:00:00,-6,MCI,223,TUL
2001-02-26 06:50:00,-2,BUR,369,PHX
2001-03-21 16:00:00,0,DAL,239,HOU
2001-02-16 10:20:00,0,MCO,1552,ABQ
2001-03-27 13:54:00,10,LAS,1090,AUS
2001-01-15 15:30:00,3,TUL,453,HOU
2001-03-20 09:50:00,-12,RNO,601,PHX
2001-01-02 13:02:00,29,ONT,325,PHX
2001-02-18 17:25:00,12,MDW,162,IND
2001-03-19 10:09:00,96,TUL,453,HOU
2001-03-22 13:20:00,-6,AUS,756,BNA
2001-03-29 21:55:00,-7,MCO,550,MSY
2001-03-16 07:30:00,-11,BNA,471,MSY
2001-03-13 17:30:00,-10,BWI,588,BNA
2001-01-19 21:27:00,5,LAS,197,ONT
2001-03-14 18:12:00,-2,BUR,325,OAK
2001-02-15 20:30:00,20,MDW,229,DTW
2001-03-14 21:52:00,25,LAX,373,SMF
2001-01-14 12:38:00,14,LAX,1797,BNA
2001-03-12 17:25:00,-4,DAL,189,AUS
2001-01-19 12:32:00,11,LAS,197,ONT
2001-01-30 18:35:00,-7,SLC,689,SEA
2001-02-07 11:30:00,-5,FLL,318,JAX
2001-01-07 08:40:00,-8,SMF,397,LAS
2001-03-25 12:40:00,-8,PHX,843,SAT
2001-02-15 12:55:00,8,SEA,564,RNO
2001-02-23 07:55:00,0,HOU,419,OKC
2001-03-27 14:55:00,-3,DAL,437,MSY
2001-03-02 15:50:00,7,BNA,338,CMH
2001-03-13 18:30:00,-9,ISP,220,BWI
2001-02-09 19:45:00,5,MDW,937,HOU
2001-02-01 17:55:00,0,SAN,304,PHX
2001-02-22 16:10:00,34,BWI,611,MDW
2001-02-13 12:06:00,51,DAL,248,SAT
2001-03-27 13:43:00,8,LAX,337,OAK
2001-01-15 11:00:00,-7,STL,351,TUL
2001-02-07 16:00:00,17,PHX,1262,STL
2001-03-14 11:10:00,18,MCI,919,SLC
2001-01-14 07:00:00,-14,BWI,588,BNA
2001-02-26 19:00:00,0,HOU,239,DAL
2001-01-30 07:20:00,-10,TUS,451,LAX
2001-03-10 11:30:00,22,BWI,787,MCO
2001-01-15 10:05:00,-10,STL,229,IND
2001-03-10 10:19:00,6,SJC,417,SAN
2001-03-24 12:00:00,-2,OAK,337,LAX
2001-01-31 07:10:00,-2,MDW,251,STL
2001-03-10 18:25:00,-22,STL,254,SDF
2001-02-15 18:30:00,17,BUR,325,OAK
2001-01-20 16:00:00,0,LAX,370,PHX
2001-01-09 16:45:00,-5,MCI,405,MDW
2001-01-03 08:45:00,5,SJC,342,SNA
2001-01-29 16:11:00,15,HOU,570,BHM
2001-01-07 21:18:00,27,SAT,248,DAL
2001-03-30 16:32:00,35,BNA,443,RDU
2001-02-23 22:02:00,35,DTW,440,STL
2001-03-10 13:50:00,-10,OKC,462,STL
2001-01-12 06:30:00,-6,ONT,325,PHX
2001-01-10 17:10:00,-10,MDW,307,CLE
2001-02-17 16:10:00,-7,BWI,611,MDW
2001-02-06 18:35:00,5,LAS,256,PHX
2001-01-09 09:05:00,13,SDF,254,STL
2001-03-05 13:45:00,-13,OMA,1037,PHX
2001-03-09 07:05:00,-2,SLC,546,GEG
2001-02-02 21:35:00,-1,BWI,314,CLE
2001-02-21 08:35:00,0,LAX,337,OAK
2001-03-01 06:30:00,-6,BWI,281,BUF
2001-02-27 06:30:00,-12,STL,351,TUL
2001-03-13 19:35:00,0,PDX,444,RNO
2001-03-13 11:45:00,-6,MSY,1671,LAX
2001-01-11 14:39:00,65,RNO,345,LAS
2001-01-23 16:15:00,-5,HOU,419,OKC
2001-02-11 21:35:00,6,MSY,487,TPA
2001-02-21 09:05:00,0,SAN,628,ABQ
2001-03-07 20:35:00,28,SLC,368,LAS
2001-03-05 14:10:00,0,SAN,480,SMF
2001-03-08 11:10:00,2,AUS,341,LBB
2001-01-24 22:00:00,2,DAL,239,HOU
2001-03-01 11:27:00,27,SAT,248,DAL
2001-02-08 19:35:00,-10,PDX,444,RNO
2001-02-07 17:50:00,-3,TPA,197,FLL
2001-03-15 06:30:00,-6,LAS,487,ABQ
2001-02-08 17:25:00,-2,DAL,189,AUS
2001-03-16 07:20:00,-7,SMF,373,LAX
2001-02-09 11:28:00,10,HOU,187,CRP
2001-02-13 17:38:00,61,PHX,325,ONT
2001-03-06 12:45:00,0,SAN,446,OAK
2001-01-01 13:35:00,0,HOU,187,CRP
2001-03-27 07:05:00,0,TPA,197,FLL
2001-02-07 05:30:00,-4,PHX,325,ONT
2001-03-25 15:00:00,5,LAS,223,BUR
2001-01-16 15:50:00,8,OKC,181,DAL
2001-01-05 11:31:00,23,ONT,197,LAS
2001-02-13 13:55:00,-8,MCI,1333,SAN
2001-01-09 19:28:00,17,RNO,180,OAK
2001-01-14 12:30:00,8,ONT,325,PHX
2001-02-15 07:50:00,59,SDF,254,STL
2001-02-14 18:35:00,-1,OAK,407,LAS
2001-01-27 14:25:00,-3,TUL,223,MCI
2001-03-27 15:09:00,13,ALB,288,BWI
2001-01-10 13:49:00,3,LAS,223,BUR
2001-03-06 16:20:00,-3,LAS,1624,SDF
2001-03-21 11:20:00,0,SLC,630,PDX
2001-01-17 10:14:00,9,HOU,303,MSY
2001-01-04 14:35:00,-2,JAX,318,FLL
2001-03-30 19:38:00,1,MCI,313,OKC
2001-01-14 14:25:00,-2,DAL,237,TUL
2001-01-02 11:28:00,20,OAK,180,RNO
2001-01-22 06:30:00,0,HOU,570,BHM
2001-02-01 14:29:00,45,PHX,256,LAS
2001-01-08 16:36:00,20,LAS,386,SJC
2001-03-25 10:10:00,-5,RNO,422,SLC
2001-01-06 14:21:00,46,HOU,239,DAL
2001-03-12 12:35:00,2,MDW,611,BWI
2001-01-28 12:10:00,-4,PDX,543,OAK
2001-03-05 13:30:00,-8,PBI,174,TPA
2001-03-06 12:50:00,-11,DAL,562,ELP
2001-02-14 16:05:00,10,SMF,358,BUR
2001-02-06 08:10:00,-9,HOU,148,AUS
2001-02-19 12:05:00,-10,LAS,1235,HOU
2001-02-23 21:50:00,59,FLL,318,JAX
2001-02-16 20:20:00,57,MCO,616,BNA
2001-02-07 14:45:00,-5,DAL,239,HOU
2001-03-06 11:20:00,9,TUL,237,DAL
2001-01-13 09:55:00,-12,BHM,1618,LAS
2001-02-02 13:55:00,-5,LAX,390,RNO
2001-02-23 08:25:00,5,JAN,888,BWI
2001-03-05 17:10:00,29,SAT,1210,LAX
2001-03-18 20:29:00,24,OAK,337,LAX
2001-03-24 17:22:00,2,SMF,480,SAN
2001-03-28 22:20:00,-1,SMF,480,SAN
2001-02-17 11:15:00,-5,JAN,666,MDW
2001-03-28 10:20:00,-5,DAL,580,ABQ
2001-01-14 20:47:00,18,BUR,223,LAS
2001-02-05 13:35:00,0,SEA,689,SLC
2001-02-07 18:38:00,-9,OAK,671,SEA
2001-02-17 15:25:00,18,TPA,197,FLL
2001-03-19 18:04:00,96,MSY,487,TPA
2001-03-20 14:05:00,-4,IND,1489,PHX
2001-01-17 12:00:00,-7,MSY,487,TPA
2001-01-08 11:00:00,-3,HOU,239,DAL
2001-03-06 09:05:00,4,SAN,1751,BNA
2001-01-23 10:30:00,-5,MCO,802,CMH
2001-03-22 20:10:00,23,TPA,587,RDU
2001-02-06 11:40:00,13,BUR,296,SJC
2001-01-20 19:05:00,18,RNO,345,LAS
2001-02-17 06:40:00,-6,STL,487,CLE
2001-01-03 07:50:00,-13,LAS,1521,MDW
2001-01-07 08:31:00,1,LAX,308,SJC
2001-03-13 19:11:00,7,SAT,192,HOU
2001-03-12 12:35:00,15,CRP,187,HOU
2001-03-22 11:35:00,3,BDL,283,BWI
2001-02-18 10:55:00,-7,MCI,919,SLC
2001-03-29 21:24:00,33,TPA,842,BWI
2001-03-01 06:00:00,13,SNA,371,OAK
2001-03-06 07:55:00,0,ABQ,487,LAS
2001-02-17 15:05:00,8,MHT,938,BNA
2001-03-11 09:35:00,-4,PHX,647,SMF
2001-02-21 09:10:00,-3,OAK,361,ONT
2001-02-08 11:45:00,0,DAL,319,MAF
2001-01-25 17:40:00,12,JAX,318,FLL
2001-02-19 17:50:00,4,BWI,281,BUF
2001-01-12 14:41:00,159,PHX,1107,SEA
2001-02-18 09:30:00,-6,AUS,189,DAL
2001-03-25 10:30:00,2,DAL,239,HOU
2001-02-14 16:05:00,-5,LBB,341,AUS
2001-01-21 18:35:00,-5,SLC,689,SEA
2001-03-23 12:50:00,8,SDF,323,BHM
2001-02-09 12:30:00,-7,ISP,803,BNA
2001-03-16 11:40:00,10,PHX,370,LAX
2001-01-27 14:18:00,12,ABQ,1180,SEA
2001-02-14 14:24:00,15,PHX,1448,BNA
2001-03-29 12:40:00,4,BNA,395,MDW
2001-02-20 16:11:00,83,MCO,1073,ALB
2001-02-10 12:20:00,0,MCO,616,BNA
2001-03-19 13:30:00,-8,BNA,588,BWI
2001-03-19 06:40:00,4,RNO,188,SJC
2001-03-05 11:25:00,-9,OAK,543,PDX
2001-02-04 11:50:00,-6,SAN,417,SJC
2001-02-11 14:20:00,0,FLL,318,JAX
2001-03-23 22:34:00,35,LAS,397,SMF
2001-02-27 20:15:00,-5,TPA,180,JAX
2001-01-30 16:15:00,-5,FLL,197,TPA
2001-01-22 14:10:00,-1,BNA,670,HOU
2001-03-23 06:45:00,-2,CLE,314,BWI
2001-03-24 15:30:00,39,HRL,276,HOU
2001-01-14 15:05:00,-2,MDW,284,CMH
2001-02-23 16:25:00,0,ISP,1093,FLL
2001-01-22 18:10:00,11,FLL,178,MCO
2001-03-22 18:00:00,-9,HOU,303,MSY
2001-03-18 20:10:00,33,DAL,239,HOU
2001-01-05 15:15:00,0,CRP,187,HOU
