Creative_Type,Director,Distributor,IMDB_Rating,IMDB_Votes,MPAA_Rating,Major_Genre,Production_Budget,Release_Date,Rotten_Tomatoes_Rating,Running_Time_min,Source,Title,US_DVD_Sales,US_Gross,Worldwide_Gross
,,Gramercy,6.1,1071.0,R,,8000000.0,12-Jun-98,,,,The Land Girls,,146083.0,146083.0
,,Strand,6.9,207.0,R,Drama,300000.0,7-Aug-98,,,,"First Love, Last Rites",,10876.0,10876.0
,,Lionsgate,6.8,865.0,,Comedy,250000.0,28-Aug-98,,,,I Married a Strange Person,,203134.0,203134.0
,,Fine Line,,,,Comedy,300000.0,11-Sep-98,13.0,,,Let's Talk About Sex,,373615.0,373615.0
Contemporary Fiction,,Trimark,3.4,165.0,R,Drama,1000000.0,9-Oct-98,62.0,,Original Screenplay,Slam,,1009819.0,1087521.0
,,MGM,,,,,1600000.0,15-Jan-99,,,,Mississippi Mermaid,,24551.0,2624551.0
,Christopher Nolan,Zeitgeist,7.7,15133.0,R,,6000.0,4-Apr-99,,,,Following,,44705.0,44705.0
Contemporary Fiction,,Artisan,3.8,353.0,R,Comedy,1600000.0,9-Apr-99,,,Original Screenplay,Foolish,,6026908.0,6026908.0
,Roman Polanski,,5.8,3275.0,R,,40000000.0,1-Jul-86,25.0,,,Pirates,,1641825.0,6341825.0
,,,7.0,2906.0,,,6000000.0,31-Dec-46,86.0,,,Duel in the Sun,,20400000.0,20400000.0
,,,7.0,4035.0,,,1000000.0,7-Oct-63,81.0,,,Tom Jones,,37600000.0,37600000.0
,,Sony Pictures,7.5,9111.0,,Musical,10000000.0,11-Dec-68,84.0,,,Oliver!,,37402877.0,37402877.0
,,Universal,8.4,82786.0,,,2000000.0,25-Dec-62,97.0,,,To Kill A Mockingbird,,13129846.0,13129846.0
,Richard Fleischer,,,,,,25000000.0,23-Sep-70,,,,"Tora, Tora, Tora",,29548291.0,29548291.0
,,,6.8,1532.0,,,100000.0,1-Mar-87,87.0,,,Hollywood Shuffle,,5228617.0,5228617.0
